"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1844721258296144153","Fri Oct 11 12:46:35 +0000 2024","24","#ILC &gt;&gt; JOKOWI MENGHITUNG HARI GIBRAN DI UJUNG TANDUK. DEMO BESAR PEKAN DEPAN MAU APA?? // SELENGKAPNYA TONTON SEKARANG YOUTUBE ILC https://t.co/N41rgGNcM1 https://t.co/b5h0UwjiBq","1844721258296144153","https://pbs.twimg.com/media/GZnEM6dbsAALW_A.jpg","","in","Indonesia","0","7","3","https://x.com/ILCTalkshow/status/1844721258296144153","2421762716","ILCTalkshow"
"1717030097931444633","Wed Oct 25 04:07:30 +0000 2023","508","INI SIH JOKOWI BANGET. Jokowi yang selalu berada di sisi sebelah rakyat dengan banyak programnya yang menyentuh langsung kebutuhan rakyat. JELAS SUDAH BAHWA Gibran adalah Jokowi versi melenial. Masih ragu ada Jokowi pada pada pasangan ini? Saya tidak. Saya yakin banget bahwa https://t.co/wtITgsISvR","1717030097931444633","https://pbs.twimg.com/ext_tw_video_thumb/1717030033641086976/pu/img/fYDEl49VirqpPRPG.jpg","","in"," Dimana-mana","41","283","151","https://x.com/Leonita_Lestari/status/1717030097931444633","1202108075231989760","Leonita_Lestari"
"1716650577080586676","Tue Oct 24 02:59:26 +0000 2023","2652","Pak Jokowi mohon dgn segala hormat mari selamatkan bangsa ini dgn tidak memaksakan Gibran menjadi Cawapres. Biarkan perjuangan bapak selama 9 tahun ini menjadi warisan yg tak ternilai bagi Indonesia. Belum terlambat bapak masih ada sisa waktu agar bapak jadi negarawan. Mohon. https://t.co/4P3jlWJx6X","1716650577080586676","https://pbs.twimg.com/media/F9LEmlibkAA53_4.jpg","","in","","152","1395","495","https://x.com/islah_bahrawi/status/1716650577080586676","1619899748387000322","islah_bahrawi"
"1845437767834271986","Sun Oct 13 12:13:45 +0000 2024","3","Kayaknya bakal: - Ada pengakuan Gibran da minta maaf disampaikan Gibran diperkuat oleh Jokowi. - Ada beberapa jerat yg dilepaskan. - Nego terjadi Prabowo lebih ringan tapi masih tertekan oleh keinginan Jokowi yg diback-up oligarki.","1845437767834271986","","","in","","0","0","1","https://x.com/taufik_q/status/1845437767834271986","175752154","taufik_q"
"1843862729972736290","Wed Oct 09 03:55:06 +0000 2024","11","Bagi yang masih pesimis atas pembentukan Badan Penerimaan Negara. Simak penjelasan lengkap ini ya! #prabowo #gibran #jokowi #pemerintah #indonesiamaju #menujuindonesiamaju #dekade08 https://t.co/rbFssp4bcA","1843862729972736290","https://pbs.twimg.com/ext_tw_video_thumb/1843862438611169286/pu/img/bBKviPYX--ShARdF.jpg","","in","DKI Jakarta, Indonesia","0","1","4","https://x.com/dekade_08/status/1843862729972736290","1576913175227748352","dekade_08"
"1705756373051637974","Sun Sep 24 01:29:45 +0000 2023","2855","Saya tidak mengenal @ganjarpranowo secara langsung tidak pernah ngobrol tidak pernah foto bareng apalagi salaman. Saya mendukung beliau bukan karena Pak Jokowi bukan karena Gibran bukan karena Kaesang juga bukan karena Soekarno Megawati Puan Maharani PDIP Perindo PPP https://t.co/ccbpg1pazJ","1705756373051637974","https://pbs.twimg.com/media/F6wMPyZbsAAMhvg.jpg","","in","teras samping","139","1019","691","https://x.com/lhayesno/status/1705756373051637974","226416224","lhayesno"
"1770943567332249730","Thu Mar 21 22:40:23 +0000 2024","5057","️ Anies &amp; Ganjar ke MK Bidik Jokowi &amp; Gibran Faizal Assegaf (kritikus) Hampir dapat dipastikan kubu Anies dan Ganjar berjuang di Mahkamah Konstitusi untuk membidik dinasti Jokowi. Bocoran ihwal itu menjadi perbincangan serius. Menariknya pelan-pelan Prabowo terkesan https://t.co/QAzSTfCWQj","1770943567332249730","https://pbs.twimg.com/media/GJOnpfwaYAAkXku.jpg","","in","DKI Jakarta - Indonesia","72","574","1388","https://x.com/faizalassegaf/status/1770943567332249730","2259000780","faizalassegaf"
"1769182943409516752","Sun Mar 17 02:04:18 +0000 2024","4504","Gue kira MENIKAM Ganjar dan PDI Perjuangan dari belakang adalah drama politik yang paling SADIS dari pertunjukan Jokowi Sekarang misi berlanjut lagi ke MELUMPUHKAN Airlangga Hartarto dan menguasai Golkar. Entah nanti lewat Bahlil Gibran atau dirinya sendiri yang jelas kiamat https://t.co/50Kh1S6MMC","1769182943409516752","https://pbs.twimg.com/media/GI1mgrfakAAu7Zk.jpg","","in","DKI Jakarta, Indonesia","119","592","812","https://x.com/JhonSitorus_18/status/1769182943409516752","1102461866129776640","JhonSitorus_18"
"1715602397970796949","Sat Oct 21 05:34:20 +0000 2023","2690","wait and see Silahkan Gerindra usung Gibran sbg wakil prabroro Silahkan Golkar usung Gibran sbg wakil prabroro Silahkan PAN usung Gibran sbg wakil prabroro Dimenit akhir atau dihari terakhir pedaftaran Capres Cawapres kalau Pakde Jokowi tidak setuju Gibran jadi wakilnya https://t.co/umWmChVjcs","1715602397970796949","https://pbs.twimg.com/media/F88LR_UawAAdtbn.jpg","","in","Indonesia 🇮🇩","124","1368","324","https://x.com/KakekHalal/status/1715602397970796949","821859629034409985","KakekHalal"
"1717741725492686926","Fri Oct 27 03:15:16 +0000 2023","476","Anak bapak sama jahatnya!!! @jokowi sejak ikut pilkada dibantu sm Ganjar saat maju pilpres juga dibantu sm Ganjar saat jadi presiden didukung dan dibela sm Ganjar. Begitu juga Gibran mau jadi walikota dan saat jadi walikota dibantu dan dibela sm Ganjar. Tapi lihat balasan https://t.co/ujyhfuHf8K","1717741725492686926","https://pbs.twimg.com/ext_tw_video_thumb/1717741599416086528/pu/img/AUWmtC9lHMCSCIBp.jpg","","in","Indonesia","31","89","163","https://x.com/Anak__Ogi/status/1717741725492686926","1356517931887120384","Anak__Ogi"
