full_text,username,huruf_kecil,cleaning,tokenizing,filtering,stemming
Pasukan Bawah Tanah Jokowi Disebut Salah Kaprah karena Sebut Gibran Lambang Negara https://t.co/hnsbFClq7r #TempoNasional,tempodotco,pasukan bawah tanah jokowi disebut salah kaprah karena sebut gibran lambang negara https://t.co/hnsbfclq7r #temponasional,pasukan bawah tanah jokowi disebut salah kaprah karena sebut gibran lambang negara,"['pasukan', 'bawah', 'tanah', 'jokowi', 'disebut', 'salah', 'kaprah', 'karena', 'sebut', 'gibran', 'lambang', 'negara']","['pasukan', 'tanah', 'jokowi', 'salah', 'kaprah', 'gibran', 'lambang', 'negara']","['pasu', 'tanah', 'jokowi', 'salah', 'kaprah', 'gibran', 'lambang', 'negara']"
Sekjen Gerindra Bocorkan Kabinet Prabowo-Gibran: Ada Menteri Era Jokowi InsyaAllah Ada dari PDIP https://t.co/hLd1YBQdgz,KompasTV,sekjen gerindra bocorkan kabinet prabowo-gibran: ada menteri era jokowi insyaallah ada dari pdip https://t.co/hld1ybqdgz,sekjen gerindra bocorkan kabinet prabowogibran ada menteri era jokowi insyaallah ada dari pdip,"['sekjen', 'gerindra', 'bocorkan', 'kabinet', 'prabowogibran', 'ada', 'menteri', 'era', 'jokowi', 'insyaallah', 'ada', 'dari', 'pdip']","['sekjen', 'gerindra', 'bocorkan', 'kabinet', 'prabowogibran', 'menteri', 'era', 'jokowi', 'insyaallah', 'pdip']","['sekjen', 'gerindra', 'bocor', 'kabinet', 'prabowogibran', 'menteri', 'era', 'jokowi', 'insyaallah', 'pdip']"
Apa Kabar Kasus Keluarga Jokowi? Dugaan Gratifikasi Jet Pribadi Kaesang Fufufafa Disebut Akun Gibran dan Blok Medan Bobby Nasution https://t.co/FLkMibFl1G,OposisiCerdas,apa kabar kasus keluarga jokowi? dugaan gratifikasi jet pribadi kaesang fufufafa disebut akun gibran dan blok medan bobby nasution https://t.co/flkmibfl1g,apa kabar kasus keluarga jokowi dugaan gratifikasi jet pribadi kaesang fufufafa disebut akun gibran dan blok medan bobby nasution,"['apa', 'kabar', 'kasus', 'keluarga', 'jokowi', 'dugaan', 'gratifikasi', 'jet', 'pribadi', 'kaesang', 'fufufafa', 'disebut', 'akun', 'gibran', 'dan', 'blok', 'medan', 'bobby', 'nasution']","['kabar', 'keluarga', 'jokowi', 'dugaan', 'gratifikasi', 'jet', 'pribadi', 'kaesang', 'fufufafa', 'akun', 'gibran', 'blok', 'medan', 'bobby', 'nasution']","['kabar', 'keluarga', 'jokowi', 'duga', 'gratifikasi', 'jet', 'pribadi', 'kaesang', 'fufufafa', 'akun', 'gibran', 'blok', 'medan', 'bobby', 'nasution']"
Presiden Joko Widodo mendatangi Hotel Fairmont tempat kumpul kubu Prabowo-Gibran selepas kampanye akbar di GBK Sabtu malam. https://t.co/aWalw8n84w,kompascom,presiden joko widodo mendatangi hotel fairmont tempat kumpul kubu prabowo-gibran selepas kampanye akbar di gbk sabtu malam. https://t.co/awalw8n84w,presiden joko widodo mendatangi hotel fairmont tempat kumpul kubu prabowogibran selepas kampanye akbar di gbk sabtu malam,"['presiden', 'joko', 'widodo', 'mendatangi', 'hotel', 'fairmont', 'tempat', 'kumpul', 'kubu', 'prabowogibran', 'selepas', 'kampanye', 'akbar', 'di', 'gbk', 'sabtu', 'malam']","['presiden', 'joko', 'widodo', 'hotel', 'fairmont', 'kumpul', 'kubu', 'prabowogibran', 'selepas', 'kampanye', 'akbar', 'gbk', 'sabtu', 'malam']","['presiden', 'joko', 'widodo', 'hotel', 'fairmont', 'kumpul', 'kubu', 'prabowogibran', 'lepas', 'kampanye', 'akbar', 'gbk', 'sabtu', 'malam']"
@TrioKwekKwek555 Gibran itu Baby Nepo korban ambisi Bapaknya yg melanggar UU dan menginjak2 konstitusi. Putusan MK90 telah dinyatakan MKMK melanggar kode etik berat KPU jongos Jokowi yg meloloskan Gibran tapi bunyi hukumnya jelas Gibran tidak sah jadi Wapres !! #JokowiTakutDilengserkan https://t.co/c7u5OjpMiS,Sw4r4Ke4dil4n__,@triokwekkwek555 gibran itu baby nepo korban ambisi bapaknya yg melanggar uu dan menginjak2 konstitusi. putusan mk90 telah dinyatakan mkmk melanggar kode etik berat kpu jongos jokowi yg meloloskan gibran tapi bunyi hukumnya jelas gibran tidak sah jadi wapres !! #jokowitakutdilengserkan https://t.co/c7u5ojpmis,gibran itu baby nepo korban ambisi bapaknya yg melanggar uu dan menginjak konstitusi putusan mk telah dinyatakan mkmk melanggar kode etik berat kpu jongos jokowi yg meloloskan gibran tapi bunyi hukumnya jelas gibran tidak sah jadi wapres,"['gibran', 'itu', 'baby', 'nepo', 'korban', 'ambisi', 'bapaknya', 'yg', 'melanggar', 'uu', 'dan', 'menginjak', 'konstitusi', 'putusan', 'mk', 'telah', 'dinyatakan', 'mkmk', 'melanggar', 'kode', 'etik', 'berat', 'kpu', 'jongos', 'jokowi', 'yg', 'meloloskan', 'gibran', 'tapi', 'bunyi', 'hukumnya', 'jelas', 'gibran', 'tidak', 'sah', 'jadi', 'wapres']","['gibran', 'baby', 'nepo', 'korban', 'ambisi', 'bapaknya', 'yg', 'melanggar', 'uu', 'menginjak', 'konstitusi', 'putusan', 'mk', 'dinyatakan', 'mkmk', 'melanggar', 'kode', 'etik', 'berat', 'kpu', 'jongos', 'jokowi', 'yg', 'meloloskan', 'gibran', 'bunyi', 'hukumnya', 'gibran', 'sah', 'wapres']","['gibran', 'baby', 'nepo', 'korban', 'ambisi', 'bapak', 'yg', 'langgar', 'uu', 'injak', 'konstitusi', 'putus', 'mk', 'nyata', 'mkmk', 'langgar', 'kode', 'etik', 'berat', 'kpu', 'jongos', 'jokowi', 'yg', 'lolos', 'gibran', 'bunyi', 'hukum', 'gibran', 'sah', 'wapres']"
@Dennysiregar7 indikasi itu memang udah ada bang mereka berdua tidak hadir acara pelantikan 20 Oktober bagus lah gak hadir jadi selesai segala urusan intervensi nya https://t.co/oFP18wPnAS,oconXBoyy,@dennysiregar7 indikasi itu memang udah ada bang mereka berdua tidak hadir acara pelantikan 20 oktober bagus lah gak hadir jadi selesai segala urusan intervensi nya https://t.co/ofp18wpnas,indikasi itu memang udah ada bang mereka berdua tidak hadir acara pelantikan  oktober bagus lah gak hadir jadi selesai segala urusan intervensi nya,"['indikasi', 'itu', 'memang', 'udah', 'ada', 'bang', 'mereka', 'berdua', 'tidak', 'hadir', 'acara', 'pelantikan', 'oktober', 'bagus', 'lah', 'gak', 'hadir', 'jadi', 'selesai', 'segala', 'urusan', 'intervensi', 'nya']","['indikasi', 'udah', 'bang', 'berdua', 'hadir', 'acara', 'pelantikan', 'oktober', 'bagus', 'gak', 'hadir', 'selesai', 'urusan', 'intervensi', 'nya']","['indikasi', 'udah', 'bang', 'dua', 'hadir', 'acara', 'lantik', 'oktober', 'bagus', 'gak', 'hadir', 'selesai', 'urus', 'intervensi', 'nya']"
Kalau MK sudah menilai Jokowi tidak melakukan nepotisme dalam pencalonan Gibran berarti gue harus mempersiapkan anak2 gue untuk melawan capres2 dari silsilah Jokowi ,realfedinuril,kalau mk sudah menilai jokowi tidak melakukan nepotisme dalam pencalonan gibran berarti gue harus mempersiapkan anak2 gue untuk melawan capres2 dari silsilah jokowi ,kalau mk sudah menilai jokowi tidak melakukan nepotisme dalam pencalonan gibran berarti gue harus mempersiapkan anak gue untuk melawan capres dari silsilah jokowi,"['kalau', 'mk', 'sudah', 'menilai', 'jokowi', 'tidak', 'melakukan', 'nepotisme', 'dalam', 'pencalonan', 'gibran', 'berarti', 'gue', 'harus', 'mempersiapkan', 'anak', 'gue', 'untuk', 'melawan', 'capres', 'dari', 'silsilah', 'jokowi']","['mk', 'menilai', 'jokowi', 'nepotisme', 'pencalonan', 'gibran', 'gue', 'anak', 'gue', 'melawan', 'capres', 'silsilah', 'jokowi']","['mk', 'nilai', 'jokowi', 'nepotisme', 'calon', 'gibran', 'gue', 'anak', 'gue', 'lawan', 'capres', 'silsilah', 'jokowi']"
Apa Kabar Kasus Keluarga Jokowi? Dugaan Gratifikasi Jet Pribadi Kaesang Fufufafa Disebut Akun Gibran dan Blok Medan Bobby Nasution You Know lah... Sepet! https://t.co/FrFKTblzZf,Kanseulir,apa kabar kasus keluarga jokowi? dugaan gratifikasi jet pribadi kaesang fufufafa disebut akun gibran dan blok medan bobby nasution you know lah... sepet! https://t.co/frfktblzzf,apa kabar kasus keluarga jokowi dugaan gratifikasi jet pribadi kaesang fufufafa disebut akun gibran dan blok medan bobby nasution you know lah sepet,"['apa', 'kabar', 'kasus', 'keluarga', 'jokowi', 'dugaan', 'gratifikasi', 'jet', 'pribadi', 'kaesang', 'fufufafa', 'disebut', 'akun', 'gibran', 'dan', 'blok', 'medan', 'bobby', 'nasution', 'you', 'know', 'lah', 'sepet']","['kabar', 'keluarga', 'jokowi', 'dugaan', 'gratifikasi', 'jet', 'pribadi', 'kaesang', 'fufufafa', 'akun', 'gibran', 'blok', 'medan', 'bobby', 'nasution', 'you', 'know', 'sepet']","['kabar', 'keluarga', 'jokowi', 'duga', 'gratifikasi', 'jet', 'pribadi', 'kaesang', 'fufufafa', 'akun', 'gibran', 'blok', 'medan', 'bobby', 'nasution', 'you', 'know', 'sepet']"
Ratusan Jenderal TNI-Polri Desak Pemakzulan Jokowi hingga Diskualifikasi Prabowo-Gibran dari Pemilu 2024 https://t.co/Q56BHO0MHM,tvOneNews,ratusan jenderal tni-polri desak pemakzulan jokowi hingga diskualifikasi prabowo-gibran dari pemilu 2024 https://t.co/q56bho0mhm,ratusan jenderal tnipolri desak pemakzulan jokowi hingga diskualifikasi prabowogibran dari pemilu,"['ratusan', 'jenderal', 'tnipolri', 'desak', 'pemakzulan', 'jokowi', 'hingga', 'diskualifikasi', 'prabowogibran', 'dari', 'pemilu']","['ratusan', 'jenderal', 'tnipolri', 'desak', 'pemakzulan', 'jokowi', 'diskualifikasi', 'prabowogibran', 'pemilu']","['ratus', 'jenderal', 'tnipolri', 'desak', 'makzul', 'jokowi', 'diskualifikasi', 'prabowogibran', 'milu']"
Kenapa PDIP tidak pecat saja Gibran? Sekalian pecat Bapaknya. Kan Jokowi tanpa PDIP kasihan banget katanya?,PartaiSocmed,kenapa pdip tidak pecat saja gibran? sekalian pecat bapaknya. kan jokowi tanpa pdip kasihan banget katanya?,kenapa pdip tidak pecat saja gibran sekalian pecat bapaknya kan jokowi tanpa pdip kasihan banget katanya,"['kenapa', 'pdip', 'tidak', 'pecat', 'saja', 'gibran', 'sekalian', 'pecat', 'bapaknya', 'kan', 'jokowi', 'tanpa', 'pdip', 'kasihan', 'banget', 'katanya']","['pdip', 'pecat', 'gibran', 'pecat', 'bapaknya', 'jokowi', 'pdip', 'kasihan', 'banget']","['pdip', 'pecat', 'gibran', 'pecat', 'bapak', 'jokowi', 'pdip', 'kasihan', 'banget']"
